*forward_reaction
0	1	0	1	0	0	0	0	0
1	0	1	0	0	0	0	0	0
1	0	0	0	1	0	0	0	0
0	0	1	0	0	0	0	1	0
1	0	0	0	0	0	0	0	0
0	0	2	0	0	0	0	0	0
0	0	1	1	0	0	0	0	0
0	0	0	1	1	0	0	0	0
0	1	0	1	0	0	0	0	0
0	0	0	1	0	1	0	0	0
0	0	0	1	0	1	0	0	0
0	0	1	0	0	1	0	0	0
0	0	0	0	1	1	0	0	0
0	0	0	0	0	2	0	0	0
0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	1	0	0
0	0	0	1	0	0	1	0	0
0	0	0	1	0	0	1	0	0
0	0	1	0	0	0	1	0	0
0	0	0	0	1	0	1	0	0
0	0	0	0	1	0	1	0	0
*backward_reaction
0	0	1	0	1	0	0	0	0
0	0	0	1	1	0	0	0	0
0	0	0	1	0	0	0	1	0
0	0	0	0	2	0	0	0	0
0	0	0	2	0	0	0	0	0
0	1	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	0	0	0
1	1	0	0	0	0	0	0	0
0	0	0	0	2	0	0	0	0
0	1	0	0	1	0	0	0	0
0	1	0	0	0	0	0	1	0
0	1	0	0	0	0	1	0	0
0	1	0	0	0	0	1	0	0
0	0	0	0	2	0	0	0	0
0	0	0	0	1	0	0	1	0
1	0	0	0	0	1	0	0	0
0	0	0	0	1	1	0	0	0
0	0	0	0	0	1	0	1	0
0	0	0	0	0	1	0	1	0
*third_body
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
2.5	1	1	1	1	1	1	12	1
2.5	1	1	1	1	1	1	12	1
2.5	1	1	1	1	1	1	12	1
2.5	1	1	1	1	1	1	12	1
2	0.78	1	1	1	1	1	11	1
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
2.5	1	1	1	1	1	1	12	1
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
*Arrhenius
3.547E+15	-0.406	16598.15854
50800	2.67	6289.676426
216000000	1.51	3429.834736
2970000	2.02	13399.31775
4.577E+19	-1.4	104374.7228
6.165E+12	-0.5	0
4.714E+15	-1	0
3.8E+19	-2	0
6.366E+17	-1.72	524.7739551
1.66E+13	0	822.9576406
7.079E+13	0	294.9842684
3.25E+13	0	0
2.89E+13	0	-496.9747963
4.2E+14	0	11981.39968
1.3E+11	0	-1629.216709
1.202E+17	0	45497.69822
2.41E+13	0	3969.800954
4.82E+13	0	7949.597602
9550000	2	3969.800954
1E+12	0	0
5.8E+14	0	9556.519739

